PartNumber,Description,Cost,Price,OEM,Hollander
DCX4,"GM 5.3L GEN IV 048-ALM W/DOD 2007-09, GM 5.3L GEN IV 048-ALM 243/799 HEAD N/VVT W/DOD W/TC&OP",300,450,L5307GMCAL,15253A/B/C/D
DCX5,"GM 5.3L FWD 2007-09 12569004 block, 243/799 heads",150,300,DCX5,5553 4053
DCX8,GM 6.6 DURAMAX LMM 2007-10 ..BL# 4102050411 HD# 476-1,750,2,DCX8,5766A 5766B
DCXF,GM 3.9L HEAD 746/610 OHV BUICK LUC,75,150,,5039A / 5039B
DCXH,GM 4.3L 14-16 ENGINE,250,,L4314GM,5244
DCXK,"GM 3.6L B:490 RH: 959 LH: 958 2012-15 IMP, LACR",100,,DCVK,5736 5936 5306
DCXR,"GM 3.6L GDI B: 490 RH: 959 LH: 958 NON SMOG 2014-16 ATS, CANY, COLO",115,,,5086A/E/G/H/J
DD41,CHRY 3.9L 1988-90 BL# 4323730 HD# 979/709,75,150,DD41,"8339, 8239B, 8239C, 8239D"
DD44,"CHRY 360/5.9L 4315830,3006921 block, 345,348,308 pol. head, roller cam",50,1250,DD44,8059E
DD57,CHRY 3.9L BL# 964-053-006-711 HD# 680 MAG,50,100,DD57,N/A
DD58,"CHRY 5.2L/318 BL# 53006714, 53006657 HD# 6671, 466",100,175,L5292MAG,8152A/B/C/D
DD72,"CHRY 5.9L/360MAG BL-006-MAGNUM HD- 671,466",75,175,L5992MAG,8159 8759
DD92,CHRY 8.0L V-10 B:095 H:854,200,2,,8180B
DD93,CHRY 4.7L 661-ABK/AE/AF 802/801AA-N/EGR 1999-04 16T..,100,250,L4799CR,"7047A/B, 7147A/B/C"
DD94,"CHRY 2.7L B: 611 H:979, 697",100,2,,8027A 8027B
DDA2,"CHRY 5.9/360 BL#53020006-AB  HD# 3418640,995,169 4 BOLT MOUNT",100,200,L5903MAG,7059
DDA3,"CHRY 3.8L 511AA/688AA(AB), 049AA W/EGR LEFT HEAD",100,2,L3801CR,8438A 8438B
DDA4,"CHRY 4.7L 661AE-4 / 802,804, 801AA, 803 NON-EGR 32T",125,250,L4702CR,8048C 7547C/D 7647
DDA5,"CHRY 4.7L 661ABK, AE-4 / 458, 457 HO 2002-04 JEEP, CHRY 4.7L 661ABK, AE-4 / 458, 457 HO",100,250,,"7148, 7247"
DDA8,"CHRY 3.7L 977/983(AB),984(AB) NON EGR 12T, CHRY 3.7L 977/983(AB),984(AB) NON EGR W/O EGC 12T",100,200,L3702CR,8137 8937
DDC6,"CHRY 3.7L 977/984AB,983AB NON EGR W/NGC 32T",100,200,L3704CR,8237A/B/C/D
DDC8,"CHRY 3.8L 511AB/688AB, 688AA, 049AA, CHRY 3.8L 511AB/688AB, 688AA, 049AA EGR FRONT LEFT..",100,2,L3804CR,8938A 8938B
DDE1,"CHRY 3.8L, FWD, W/ Roller Camshaft, Vin (L), Application - Chrysler Mini-Van..oil filter adapter..., CHRY 3.8L Block - 4781511AB, 4666031AA, 4666031AB - Can be used only if there are ( 3 ) 8mm bolt...",75,2,L3805CR,8938A 8638A
DDF1,"CHRY 2.7L B:661 H: 064AA, 068AA",50,2,,8527 8962A/B/C
DDF3,"CHRY 5.7L 319AG,CB / 616AJ,BA NON MDS/EGR 2003.., CHRY 5.7L 319AG,CB/ 616AJ,BA NON MDS/EGR 2003",150,350,L5703CR,8057
DDF7,"CHRY 4.7L 661AF,033AA /RH: 802, 804 LH: 801AC W/EGR W/EGC 32T 4WD BLOCK, CHRY 4.7L 661AF,033AA /RH: 802, 804 LH: 801AC W/EGR W/EGC 32T 4WD BLOCK, 2 HOLES UNDER CASTING",150,250,L4704EGRCR,7447C/D/E 8048Y
DDF9,"CHRY 4.7L 661AF, 033AA / RH 802,804, LH 801AC, 803 NON EGR W/NGC 32T",125,250,L4704CR,7447A 8048D 7547C
DDH1,"CHRY 3.7L 977/983AD,983AC NON EGR W/NGC 32T",100,200,L3705CR,8437A 8537A/C 8637A 8337A/B
DDH2,"CHRY 3.7L 977,934AA/984AC,983AD EGR W/NGC 32T",125,225,L3707CR,8437B 8537B/D 8637B 8837 8737
DDH5,"CHRY 3.5L B: 660AA,AB / H:4663894AC/T/R  4792728AA..",50,2,,8635 8735 8835
DDH8,"CHRY 5.7L 319AG,CB / 616AJ,BA W/EGR NON-MDS 2003.., CHRY 5.7L 319AG,CB / 616AJ,BA W/EGR NON-MDS",150,350,L5703EGRCR,8157 8257 8757
DDH9,"CHRY 5.7L 319AG,CB / 616AJ,BA W/EGR W/MDS 2005.., CHRY 5.7L 319AG,CB / 616AJ,BA W/EGR W/MDS 2005",100,350,L5705CR,8557B 8657 10072
DDHA,"CHRY 3.6L B:841AH, AI H: 510AJ, 445AI 3/8-18 SENSOR 05184318AI T/C..",150,250,CAAC3611L,8007A 8007B 8007C 8007D
DDHA2,"CHRY 3.6L B: 841AA, 1003 H:510AJ, 445AI M12X1.5 SENSOR 05184318AI TC",150,250,CAAC3614L,8007A/B 8042 8095A/B
DDHA2-3.2L,CHRYS. 3.2L 2014-2022,150,250,DDHA2-3.2l,NA
DDHB,"CHRY 3.6L B: 841AH/AI H:445AI, 249AF RAM 1500 3/18-18 SENSOR 04893144AB T/C",75,250,CAAC3611L,8008 8009
DDHB2,CHRY 3.6L RAM 1500. PROMASTER 2014+,150,150,,ADD
DDHC,"CHRY 4.0L V6 B: 586AA H: 728AA, 894AC",75,0,,.
DDHD,"CHRY 3.6L 2012-13 JEEP, CHRY 3.6L B: 841AI H: 510AJ, 445AI SLANT CUT BLOCK JEEP 3/8-18 SENSOR",150,275,CAAC3611LJ,8236
DDHD2,CHRY 3.6L 14-17 WRANGLER,150,250,CAAC3614JL,300-7965
DDHH,"CHRY 3.6L B:461AF H: 811AA, 810AF 4893939AE T/C",115,250,,7862A/B
DDHH?,CHRY 3.6L WRANGLER/JEEP  2018-UP BL-04893461AF HD-04893811AF FC-68241121AD OP- 68313582AB,150,300,DDHH?,NA
DDK1,"CHRY 5.7L 319AG,CA,CB / 616AJ,BA W/EGR W/MDS W/PS ON LH 2005.., CHRY 5.7L 319AG,CA,CB / 616AJ,BA W/EGR W/MDS W/PS ON LH 2005",250,350,L5705CR,8357 8457 8557A 8557C
DDK3,"CHRY 3.8L 2007 CARAVAN/TOWN & COUNTRY Block - 4666031AB, Heads - 4694688AB, 4694688AA, 4666049AA...",100,200,L3807CR,8638A
DDK4,"CHRY 3.8L 2007-08 PACIFICA Block - 4666031AB, Heads - 4694688AB, 4694688AA, 4666049AA, Crankshaf...",100,200,L3807CRP,8738
DDK5,"CHRY 3.8L, RWD, W/ Roller Camshaft, Vin (1), Application - Jeep Wrangler Only.., CHRY 3.8L 031AB/031AB, 688AA, 049AA..EGR AT REAR RIGHT",150,2,L3807CRW,7963
DDK8,"CHRY 4.7L HO 331AB, 033A / 485, 457 32T W/NGC",100,250,,"7048A/B, 7847, 7947"
DDK9,"CHRY 4.7L 661AF, 033A / 128AA, 129AA 16- PLUG W/EGR",250,350,L4708EGRCR,8047A/B
DDM1,CHRY 6.1L 388AB / 369AA W/EGR IN RIGHT HEAD,600,400,,8161A 8161B
DDM2,"CHRY 5.7L 319DK, 318DL / 616DE/DD W/VVT W/MDS PASSIVE INTAKE 2009.., CHRY 5.7L 319DK, 318DL / 616DE/DD W/VVT W/MDS PASSIVE INTAKE",200,550,L5709CR,8981 8988 8978 8079
DDM3,"CHRY 5.7L B: 319DK, 318DL H: 616DD,DE W/VVT NON-MDS PASSIVE INTAKE HP.., CHRY 5.7L B: 319DK, 318DL H: 616DD,DE W/VVT NON-MDS PASSIVE INTAKE HP",200,550,L5709HPCR,8980
DDM4,"CHRY 5.7L B:319DK, 318DL H:616DD,DE W/VVT W/MDS ACTIVE INTAKE 2010, CHRY 5.7L B:319DK, 318DL H:616DD,DE W/VVT W/MDS ACTIVE INTAKE",350,550,L5710TCR,8258
DDM42,"CHRY 5.7L B: 319DK,DL H: 616DD,DE W/MDS W/VVT 2013",300,550,L5713CR,8010
DDM5,"CHRY 5.7L B: 319DK, 318DL H: 616DD, DE W/VVT NON/MDS ACTIVE INTAKE 2009",350,550,L5709HPCR,8158 8358
DDM52,"CHRY 5.7L B: 619DK, 618DL H:616DD, DE W/O MDS W/VVT 2013+ 2500-3500",300,550,L5713TCR,8010
DDM9,"CHRY 6.4L B:05037473 H: 05037369BD  W/VVT & MDS 11-17 HEMI CHARGER, CHALLENGER, GRAND CHEROKEE,300",600,1200,,"8992/4,8064A/B,8011/44/97"
DDMA,CHRY 6.4L B:       H:369BD  NON-MDS NON-VVT 11-15 CHALLENGER,250,2,,8993 8012
DDMB,CHRY 6.4L B:05045481AB or 68249194AA H:05045468AE 14-17 RAM 2500/3500,600,1200,DDMB,8019
DDR1,"CHRY 3.8L FWD 4666031AB block, 4666031AB heads, 4694688AA, 4666049AA, Crankshaft - 6433 / 620AA..",50,250,DDR1,8838A
DDR2,"CHRY 3.3L 4666031AB / 688/049AA,AB..",50,2,,8933
DDR3,"CHRY 3.8L 2008-11 WRANGLER Block - 4666031AB, Heads - 4666049AA, 4694688AA, 4694688AB (01-07 app...",150,250,L3808CRW,7038
DDX41,"CHRY 2.4L 2010-17 #0488510AD/04884510AC..SBRING,AVENGER,200,PARIOT",50,175,DDX41,"8972A/C, 8982, 8990, 8996, 101"
DDX5,"CHRY 2.4L 2015-2017 DART,200 HD# 05047338AE",100,300,DDX5,8050A/B  7060A/B
DF02,"FORD 2.3L OHC D42E/D6EE/D8EE/D9 block, D42E/D6EE/D8EE/D7EE/D9 head, tin Front Cover, tin Oil Pan",35,200,DF02,9023A 9023B
DF08,"FORD 300 BL# D5TE,E1TE,D3TE,D1AE,D2AE HD# D2TE,C8TE,E4TE NO POL HOLES",100,150,DF08,9049A/D/E
DF10,"FORD 302 C8TE-B,C8AE,D1MZ-AA,C8OE block D0OE,C8AE-J,D3UE heads",100,200,,9117 9302A/P/Y/Z
DF12,FORD 302 E7TE/E6SE ROLLER NO KN SEN.,200,200,,9450E
DF15,FORD 351W D9AE / D8OE,100,250,,9158
